AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AngleX,AngleY,AngleZ,AccAngleX,AccAngleY,RuheState,FernstState,TranspState
0.040866,-0.111822,1.213645,-62.070751,-14.223023,-45.177647,-14.126941,2.705737,-146.995834,-5.261239,-1.920423,0,0,1
0.116306,-0.017583,0.94973,7.807115,5.685373,-40.84177,-13.09271,3.074749,-151.12085,-1.052802,-6.980601,0,0,1
-0.015042,-0.08814,1.126487,-2.834107,-2.574169,-30.246351,-13.200845,2.773716,-154.175735,-4.473502,0.762695,0,0,1
0.008884,0.054194,0.858421,7.990321,1.4869,-22.170015,-12.073704,2.85358,-156.414902,3.612211,-0.591754,0,0,1
-0.021146,0.057856,0.877952,9.288031,3.59377,-4.475359,-10.837518,3.179754,-156.866913,3.769179,1.376719,0,0,1
-0.068753,0.071528,0.928001,-0.177618,-2.955848,23.524641,-10.550439,2.908082,-154.490921,4.395492,4.224654,0,0,1
-0.070218,0.059077,1.027122,-13.185251,-2.528367,56.639145,-11.578824,2.677752,-148.77037,3.284188,3.904428,0,0,1
-0.126126,-0.180669,1.412132,-44.940979,12.204456,80.303268,-15.940751,3.93345,-140.659744,-7.262266,5.062836,0,0,1
-0.054837,0.02685,0.846214,36.448334,0.937282,64.089523,-11.978009,4.021671,-134.186707,1.813565,3.705875,0,0,1
0.006687,-0.092535,0.979515,3.822382,-36.528366,73.494102,-11.468041,0.317872,-126.763802,-5.396586,-0.389382,0,0,1
0.006442,-0.018072,0.825462,-0.696702,-15.413863,52.440674,-11.332723,-1.223091,-121.467293,-1.254134,-0.447053,0,0,1
0.013767,0.022211,0.819358,1.730779,9.196823,33.09716,-10.903704,-0.307572,-118.124481,1.552593,-0.962222,0,0,1
0.062595,0.082514,0.921165,-5.429527,1.563236,19.936855,-11.120905,-0.224129,-116.110855,5.106944,-3.871914,0,0,1
0.073337,-0.039556,1.327415,-8.238687,-6.314627,4.455939,-11.748037,-0.907886,-115.660805,-1.704277,-3.160857,0,0,1
0.093356,-0.219976,1.461204,0.891084,-0.055085,-12.994443,-11.595759,-0.967481,-116.973244,-8.544106,-3.615038,0,0,1
-0.106351,-0.090093,1.047874,41.929249,41.624306,7.921588,-7.311469,3.287323,-116.173164,-4.889053,5.774049,0,0,1
-0.012601,0.020747,0.775657,-5.002046,-3.062718,24.684946,-7.629704,2.937036,-113.679985,1.531929,0.930358,0,0,1
0.013767,0.044672,0.74636,-4.940977,1.196824,33.081894,-7.897674,2.975661,-110.338715,3.424692,-1.054812,0,0,1
0.01694,0.069819,0.858665,-22.345556,4.922014,37.417774,-9.85853,3.380798,-106.559517,4.647646,-1.126513,0,0,1
0.028171,0.096674,1.074729,-24.360825,7.731174,38.013191,-11.969829,4.048505,-102.720184,5.138295,-1.495463,0,0,1
-0.070218,0.040034,1.329124,6.707878,-6.299359,31.433037,-11.032029,3.404479,-99.545448,1.722847,3.022763,0,0,1
-0.046048,0.050043,0.976097,66.570473,-5.978749,31.952122,-4.16361,2.798562,-96.318283,2.93167,2.697417,0,0,1
-0.089017,-0.097906,1.055198,31.089558,0.219724,51.81472,-1.10874,2.860369,-91.084999,-5.282312,4.801533,0,0,1
0.005466,0.006342,0.755149,3.608641,-16.467299,19.463572,-0.719758,1.164935,-89.119179,0.481187,-0.414689,0,0,1
