AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AngleX,AngleY,AngleZ,AccAngleX,AccAngleY,RuheState,FernstState,TranspState
0.741213,0.16809,0.305944,-48.920429,20.342747,31.285099,-27.807325,-59.956959,24.24268,11.839018,-64.781624,0,0,1
0.694827,0.187377,0.304724,-12.630351,-1.977864,31.849985,-28.223877,-60.208767,27.459528,13.872619,-62.758804,0,0,1
0.825198,-0.01648,0.258093,34.331482,-14.435879,7.682046,-24.28311,-61.885433,28.235415,-1.091982,-72.598923,0,0,1
0.834475,-0.18152,0.282507,51.919266,-5.382443,-16.714901,-18.891321,-62.542076,26.547209,-11.642209,-68.07991,0,0,1
0.851565,-0.239625,0.402868,20.423084,-40.451145,-16.821772,-16.777447,-66.518478,24.848209,-14.271355,-61.169304,0,0,1
0.844729,-0.175172,0.475622,-38.599819,-49.168701,-15.401924,-20.467361,-71.235542,23.292616,-10.242641,-59.035389,0,0,1
0.705325,-0.07483,0.517126,-83.989128,-51.351906,-19.493526,-28.469067,-75.963013,21.323771,-4.890345,-53.468563,0,0,1
0.702883,0.016967,0.577429,-146.813568,-42.970226,-38.256886,-42.409924,-79.708641,17.459826,1.068554,-50.584278,0,0,1
0.899905,0.094604,0.47196,-119.10363,17.716793,-21.172916,-53.244228,-77.598022,15.321361,5.318866,-61.858215,0,0,1
0.914797,0.294066,0.488562,-131.622726,49.42672,-22.516428,-64.890747,-72.315063,13.047201,15.830724,-58.062851,0,0,1
0.808108,0.327514,0.347204,-204.416611,73.518318,-26.440092,-83.417618,-64.780556,10.376752,20.423805,-59.432217,0,0,1
0.825442,0.291869,0.330114,-126.630348,6.052671,-28.50116,-93.919632,-64.123962,7.498135,18.175522,-61.905708,0,0,1
0.695803,0.180297,0.327429,-65.225769,-3.916795,6.231665,-98.233391,-64.464272,8.127533,13.195124,-61.75523,0,0,1
0.789797,0.175658,0.366491,-54.034931,-4.771756,-10.18055,-101.388985,-64.90271,7.099298,11.406129,-62.770599,0,0,1
0.783694,0.180297,0.237341,-10.889893,0.968701,0.918687,-100.190735,-64.892311,7.192085,12.417499,-69.177063,0,0,1
0.939456,0.166625,0.233435,31.323849,-77.565651,-54.608028,-94.891159,-72.732376,1.676674,9.76657,-73.023323,0,0,1
1.008547,-0.051148,0.261511,-37.989132,-172.649612,-153.56987,-96.809708,-89.870598,-13.833883,-2.81048,-75.200203,0,0,1
1.029543,-0.090699,-0.002161,-51.958595,-29.565649,-61.615662,-103.515686,-86.846062,-20.057066,-174.965454,-84.964012,0,0,1
0.724856,0.135131,0.149694,-2.615083,19.793129,31.895786,-101.497284,-84.639069,-16.835592,10.34664,-74.452698,0,0,1
0.688723,0.111693,0.071081,-34.21814,8.49542,-9.050778,-102.670967,-83.687782,-17.749722,9.163874,-79.118782,0,0,1
0.85303,0.00891,0.043249,-57.210506,-14.237406,-17.997343,-106.268288,-85.163979,-19.567453,0.597682,-87.036713,0,0,1
1.185305,0.219848,0.027868,-20.737221,-27.138168,7.911054,-105.985397,-87.735039,-18.768436,10.504841,-79.410133,0,0,1
1.093264,0.137084,0.325231,-72.798286,-43.977863,2.353802,-110.934204,88.224571,-18.530703,6.853183,-72.108231,0,0,1
1.106204,0.146117,0.241979,-179.149445,-23.519848,74.995018,-126.300682,86.218765,-10.956205,7.352685,-75.66568,0,0,1
0.830569,0.292357,0.344519,-22.126534,76.877098,113.86525,-125.60453,-85.525375,0.544185,18.011168,-61.452866,0,0,1
0.598635,0.34851,0.221472,-60.554016,113.854202,107.712578,-128.513382,-73.653633,11.423156,28.634787,-55.402836,0,0,1
0.621584,0.211791,0.139196,10.942168,46.480152,65.285095,-124.492241,-68.93631,18.016951,18.391588,-67.817825,0,0,1
0.99512,0.25476,0.009313,114.133011,-31.046564,61.346169,-110.418335,-72.143196,24.212914,14.359226,-75.630974,0,0,1
0.961672,-0.249879,0.143591,155.125366,-72.084732,-109.233986,-93.143906,-79.301628,13.180281,-14.412502,-73.317383,0,0,1
1.023684,-0.103639,0.275183,232.758957,-78.542747,-7.905741,-68.354233,-86.969223,12.381801,-5.584059,-73.973366,0,0,1
0.560549,0.278686,0.432409,154.560486,12.510686,63.926323,-51.25901,-84.940659,18.83836,21.487152,-47.456352,0,0,1
0.53467,0.160766,0.299353,70.926903,-9.718322,-10.409557,-42.919472,-85.355034,17.786995,14.700787,-57.563484,0,0,1
0.761233,0.175658,0.348669,159.949799,-32.619083,-30.77597,-25.992281,-88.13353,14.678622,11.848535,-62.847836,0,0,1
1.4751,-0.12317,0.640661,5.781863,-94.206871,-131.356125,-24.987738,82.981712,1.411653,-4.379608,-66.141602,0,0,1
1.176272,-0.159303,0.420202,-41.790657,65.564117,25.086626,-28.769785,-89.970207,3.945402,-7.268077,-69.091042,0,0,1
1.168948,0.106078,0.227331,-140.508224,30.831297,111.422501,-42.000088,-86.67688,15.199076,5.090348,-77.887733,0,0,1
0.930911,0.253539,0.197058,-24.859358,55.579391,153.712585,-43.322269,-80.861458,30.724047,14.919911,-70.968361,0,0,1
0.586428,0.212279,0.070349,-4.798289,23.151907,128.766006,-42.535378,-78.335175,43.729412,19.768942,-69.125824,0,0,1
0.444338,0.18518,-0.009241,51.46125,-27.382444,32.933956,-40.643402,-75.405167,47.05574,157.380295,-67.350571,0,0,1
1.026614,0.222777,-0.17013,226.758957,-101.779388,-48.943905,-21.2276,-65.317497,42.112408,167.916397,-74.728004,0,0,1
1.631838,0.27893,0.897009,219.384918,-188.206863,-187.692001,1.082052,-83.841324,23.155516,8.519043,-60.072914,0,0,1
0.827395,0.002074,0.614294,-98.263939,-4.054199,1.11716,-8.663446,-83.633949,23.268349,0.115326,-53.408051,0,0,1
0.609622,0.186645,0.323522,39.369648,2.342747,39.544643,-4.290707,-82.89949,27.262358,15.133124,-58.505169,0,0,1
0.535891,0.286254,0.403601,114.606293,34.464886,40.59808,7.600985,-78.77581,31.362764,23.107344,-47.282585,0,0,1
0.723635,0.045531,0.236853,23.430719,0.312213,-26.073679,9.83658,-78.600731,28.729322,3.422127,-71.566658,0,0,1
1.568606,0.011107,0.174597,-15.057832,-22.832825,-57.14238,8.157489,-80.961433,22.957941,0.403219,-83.635994,0,0,1
1.109377,-0.106568,0.206091,-126.325005,-4.298474,0.399603,-4.617217,-81.331421,22.998301,-5.395326,-78.187515,0,0,1
0.918948,0.065307,0.196081,-138.752487,-28.069468,52.033192,-18.179079,-84.02961,28.253653,3.975788,-77.325119,0,0,1
0.899661,0.328734,0.359655,-56.676155,9.014503,115.346169,-23.050474,-82.687965,39.903618,18.741608,-61.560043,0,0,1
0.695803,0.50476,0.407507,-32.416611,24.037403,102.567543,-25.157146,-79.595093,50.262939,32.045712,-47.005367,0,0,1
0.562014,0.326293,0.403845,-7.821191,28.434351,23.315634,-24.923286,-76.134125,52.617817,25.242893,-47.268208,0,0,1
0.799075,0.164428,0.458044,13.766596,70.144279,-5.295053,-22.859762,-68.841705,52.083015,10.121979,-58.657207,0,0,1
0.614504,-0.079225,0.537878,-35.515846,24.358015,-37.7836,-26.028748,-66.023903,48.266872,-5.540977,-48.49929,0,0,1
0.957278,-0.380494,-0.027552,-155.363174,-50.603817,-5.020245,-44.052647,-61.060097,47.759827,-158.331543,-68.271935,0,0,1
0.979006,-0.20276,0.232702,-151.042572,-1.382443,-30.424824,-58.349632,-61.425766,44.68692,-11.392215,-72.501831,0,0,1
0.989504,-0.317018,0.129675,-65.729584,115.487785,-46.256886,-64.041016,-50.184406,40.014973,-17.623177,-70.906876,0,0,1
0.529543,-0.122193,0.30863,-24.676151,68.342751,-20.348488,-65.428139,-43.574528,37.959774,-11.274849,-57.918858,0,0,1
0.639407,-0.217164,0.017126,-75.836456,13.106106,-25.85994,-72.000931,-42.829529,35.347919,-18.752962,-71.18663,0,0,1
1.098147,-0.067506,0.036169,62.071938,-11.580917,-17.982077,-64.48735,-44.839432,33.531731,-3.515788,-86.010651,0,0,1
1.099368,0.025756,0.453405,29.537588,-93.870995,-59.524059,-60.249161,-54.585098,27.5198,1.240731,-67.555038,0,0,1
0.942141,0.067016,0.419958,-218.340286,-92.512215,-44.379021,-80.581161,-63.964378,23.037519,3.717227,-65.706139,0,0,1
0.883792,-0.08484,0.155798,-139.683792,-19.626719,-1.508794,-92.90345,-66.200745,22.885132,-5.400557,-78.65007,0,0,1
0.711672,0.058227,0.203405,20.591024,33.457253,48.567543,-88.91732,-63.033993,27.790453,4.497995,-73.443161,0,0,1
0.726565,0.168578,0.249792,9.751328,42.083206,35.132431,-85.926277,-58.957375,31.338829,12.375477,-67.472977,0,0,1
1.031741,0.179809,0.123327,-19.714319,-9.550383,10.73548,-85.96273,-60.28487,32.423111,9.817528,-78.067223,0,0,1
0.850344,0.077025,0.167761,70.560493,-13.870993,-74.256889,-77.157829,-62.00716,24.923164,5.078448,-77.7519,0,0,1
0.904543,-0.109986,-0.031946,-51.531116,-10.802291,-71.936279,-84.176651,-61.353481,17.6576,-173.071533,-82.783699,0,0,1
0.694094,0.080932,0.075231,103.53759,38.449619,20.03319,-72.112717,-57.939762,19.680952,6.612297,-80.954605,0,0,1
0.591799,0.161254,0.231726,67.690262,1.915266,-35.310318,-63.685745,-57.881332,16.114611,14.236863,-64.497063,0,0,1
0.920901,-0.013307,0.176062,-21.531113,-25.306108,-91.111847,-64.559448,-60.811432,6.912314,-0.813118,-79.146439,0,0,1
1.462405,0.123656,0.276647,-30.019663,-25.489313,-32.226349,-66.144615,-63.684002,3.657453,4.749411,-78.293373,0,0,1
1.250735,-0.015016,0.210485,37.247509,53.136642,75.483574,-61.148533,-58.759323,11.281294,-0.678291,-80.423416,0,0,1
